,10kW,60kW,100kW
FTBT,0.019716537846666667,0.007255777683333315,0.01286080194166668
TGA,0.010705595270000002,0.0034493361666666877,0.0030589841583333467
BT,0.07933536286666668,0.015503101433333312,0.020584234358333307
TGABT,0.008274079813333333,0.00780260048333336,0.008487959508333332
TGADSC,0.027652746590000006,0.0014161578999999749,0.002144438874999993
2Mass,0.007969413295000002,0.0015108024083333113,0.007781224866666645
3Mass,0.002484158883333332,0.005852410966666643,0.009791159916666677
4Mass,0.007442275183333334,0.0011978142916666968,0.0019962736499999725
5Mass,0.02043413144166667,0.0001755703499999935,0.0032388262666666495
2MassTGA,0.0011523507716666667,0.0061935951666666844,0.0063369149666666815
